Instrument,Date,Time,Open,High,Low,Close,VWAP,Range,ClosePercent
NFO:NIFTY2641323900PE,2026-04-10,13:15,101.8,103.0,99.4,102.4,119.51,3.60,83.33
NFO:NIFTY2641323900PE,2026-04-10,13:20,102.35,102.9,97.4,97.95,119.35,5.50,10.00
NFO:NIFTY2641323900PE,2026-04-10,13:25,97.95,100.5,94.4,99.5,119.16,6.10,83.61
NFO:NIFTY2641323900PE,2026-04-10,13:30,99.5,101.95,95.2,95.3,118.96,6.75,1.48
NFO:NIFTY2641323900PE,2026-04-10,13:35,95.6,95.6,91.3,92.8,118.70,4.30,34.88
NFO:NIFTY2641323900PE,2026-04-10,13:40,92.8,96.75,89.8,95.3,118.35,6.95,79.14
NFO:NIFTY2641323900PE,2026-04-10,13:45,95.3,96.8,92.0,92.6,118.05,4.80,12.50
NFO:NIFTY2641323900PE,2026-04-10,13:50,92.8,93.4,83.75,86.0,117.82,9.65,23.32
NFO:NIFTY2641323900PE,2026-04-10,13:55,86.2,87.65,84.0,86.4,117.27,3.65,65.75
NFO:NIFTY2641323900PE,2026-04-10,14:00,86.15,87.5,84.6,85.85,116.96,2.90,43.10
NFO:NIFTY2641323900PE,2026-04-10,14:05,85.5,96.9,83.1,91.35,116.68,13.80,59.78
NFO:NIFTY2641323900PE,2026-04-10,14:10,91.35,118.25,91.35,103.95,115.97,26.90,46.84
NFO:NIFTY2641323900PE,2026-04-10,14:15,103.95,121.45,96.0,121.45,115.57,25.45,100.00
NFO:NIFTY2641323900PE,2026-04-10,14:20,121.45,127.35,116.05,119.45,115.60,11.30,30.09
NFO:NIFTY2641323900PE,2026-04-10,14:25,118.9,121.3,109.0,114.05,115.68,12.30,41.06
NFO:NIFTY2641323900PE,2026-04-10,14:30,114.7,123.9,110.75,116.6,115.70,13.15,44.49
NFO:NIFTY2641323900PE,2026-04-10,14:35,116.6,117.2,108.3,112.35,115.68,8.90,45.51
NFO:NIFTY2641323900PE,2026-04-10,14:40,113.0,119.7,94.05,97.55,115.63,25.65,13.65
NFO:NIFTY2641323900PE,2026-04-10,14:45,97.25,105.8,97.25,103.75,115.30,8.55,76.02
NFO:NIFTY2641323900PE,2026-04-10,14:50,103.35,104.6,99.85,102.45,115.12,4.75,54.74
NFO:NIFTY2641323900PE,2026-04-10,14:55,102.35,103.1,86.8,86.8,114.81,16.30,0.00
NFO:NIFTY2641323900PE,2026-04-10,15:00,86.9,86.9,76.9,79.7,114.17,10.00,28.00
NFO:NIFTY2641323900PE,2026-04-10,15:05,79.7,81.0,75.5,81.0,113.57,5.50,100.00
NFO:NIFTY2641323900PE,2026-04-10,15:10,81.0,85.65,80.35,85.4,113.11,5.30,95.28
NFO:NIFTY2641323900PE,2026-04-10,15:15,85.1,86.5,82.7,84.35,112.75,3.80,43.42
NFO:NIFTY2641323900PE,2026-04-10,15:20,84.15,84.7,80.25,82.9,112.43,4.45,59.55
NFO:NIFTY2641323900PE,2026-04-10,15:25,82.05,84.7,80.25,82.9,112.43,4.45,59.55
NFO:NIFTY2641323900PE,2026-04-10,15:30,82.05,84.7,80.25,82.9,112.43,4.45,59.55

NFO:NIFTY2641324100CE,2026-04-10,10:45,103.4,105.0,101.35,102.45,100.13,3.65,30.14
NFO:NIFTY2641324100CE,2026-04-10,10:50,102.45,107.05,96.8,106.45,100.16,10.25,94.15
NFO:NIFTY2641324100CE,2026-04-10,10:55,106.5,111.5,105.0,107.7,100.44,6.50,41.54
NFO:NIFTY2641324100CE,2026-04-10,11:00,107.7,111.1,104.0,110.9,100.63,7.10,97.18
NFO:NIFTY2641324100CE,2026-04-10,11:05,110.9,113.45,108.5,109.45,100.89,4.95,19.19
NFO:NIFTY2641324100CE,2026-04-10,11:10,109.45,111.2,100.25,103.85,101.10,10.95,32.88
NFO:NIFTY2641324100CE,2026-04-10,11:15,103.85,106.2,102.15,103.3,101.16,4.05,28.40
NFO:NIFTY2641324100CE,2026-04-10,11:20,103.25,107.65,99.85,100.6,101.23,7.80,9.62
NFO:NIFTY2641324100CE,2026-04-10,11:25,100.25,106.5,100.25,104.55,101.27,6.25,68.80
NFO:NIFTY2641324100CE,2026-04-10,11:30,104.65,105.45,98.35,99.75,101.30,7.10,19.72
NFO:NIFTY2641324100CE,2026-04-10,11:35,99.75,101.35,93.75,95.65,101.25,7.60,25.00
NFO:NIFTY2641324100CE,2026-04-10,11:40,95.95,98.55,89.4,91.8,101.10,9.15,26.23
NFO:NIFTY2641324100CE,2026-04-10,11:45,91.8,99.3,91.8,98.4,100.87,7.50,88.00
NFO:NIFTY2641324100CE,2026-04-10,11:50,99.1,101.15,97.0,100.0,100.83,4.15,72.29
NFO:NIFTY2641324100CE,2026-04-10,11:55,100.0,107.35,98.25,106.5,100.82,9.10,90.66
NFO:NIFTY2641324100CE,2026-04-10,12:00,106.5,110.15,104.6,108.95,100.94,5.55,78.38
NFO:NIFTY2641324100CE,2026-04-10,12:05,108.95,109.9,105.8,105.8,101.07,4.10,0.00
NFO:NIFTY2641324100CE,2026-04-10,12:10,105.55,107.35,100.45,103.85,101.17,6.90,49.28
NFO:NIFTY2641324100CE,2026-04-10,12:15,103.85,111.0,101.0,110.75,101.21,10.00,97.50
NFO:NIFTY2641324100CE,2026-04-10,12:20,111.0,115.65,102.2,107.0,101.51,13.45,35.69
NFO:NIFTY2641324100CE,2026-04-10,12:25,106.8,109.0,104.25,104.9,101.64,4.75,13.68
NFO:NIFTY2641324100CE,2026-04-10,12:30,104.9,109.2,104.5,107.05,101.71,4.70,54.26
NFO:NIFTY2641324100CE,2026-04-10,12:35,107.15,109.6,102.0,102.0,101.78,7.60,0.00
NFO:NIFTY2641324100CE,2026-04-10,12:40,102.0,107.95,101.05,105.0,101.81,6.90,57.25
NFO:NIFTY2641324100CE,2026-04-10,12:45,105.15,105.3,99.8,103.25,101.84,5.50,62.73
NFO:NIFTY2641324100CE,2026-04-10,12:50,103.0,103.35,98.35,101.7,101.84,5.00,67.00
NFO:NIFTY2641324100CE,2026-04-10,12:55,101.7,106.05,101.1,105.6,101.84,4.95,90.91
NFO:NIFTY2641324100CE,2026-04-10,13:00,105.6,109.0,103.05,106.95,101.88,5.95,65.55
NFO:NIFTY2641324100CE,2026-04-10,13:05,107.2,107.4,97.75,100.0,101.91,9.65,23.32
NFO:NIFTY2641324100CE,2026-04-10,13:10,100.0,103.55,98.5,98.5,101.89,5.05,0.00
NFO:NIFTY2641324100CE,2026-04-10,13:15,98.8,100.95,97.75,98.75,101.87,3.20,31.25
NFO:NIFTY2641324100CE,2026-04-10,13:20,98.55,103.0,97.8,101.95,101.86,5.20,79.81
NFO:NIFTY2641324100CE,2026-04-10,13:25,101.95,105.0,98.8,99.45,101.86,6.20,10.48
NFO:NIFTY2641324100CE,2026-04-10,13:30,99.45,104.0,96.1,103.7,101.84,7.90,96.20
NFO:NIFTY2641324100CE,2026-04-10,13:35,103.7,110.7,103.7,108.35,101.88,7.00,66.43
NFO:NIFTY2641324100CE,2026-04-10,13:40,108.35,113.0,101.2,103.0,102.03,11.80,15.25
NFO:NIFTY2641324100CE,2026-04-10,13:45,103.0,107.1,100.6,106.35,102.09,6.50,88.46
NFO:NIFTY2641324100CE,2026-04-10,13:50,106.35,122.0,105.7,118.0,102.18,16.30,75.46
NFO:NIFTY2641324100CE,2026-04-10,13:55,105.8,122.0,105.7,118.0,102.18,16.30,75.46
NFO:NIFTY2641324100CE,2026-04-10,14:00,118.0,122.8,113.25,115.3,102.83,9.55,21.47
NFO:NIFTY2641324100CE,2026-04-10,14:05,115.3,117.2,110.6,114.45,103.10,6.60,58.33
